"SRR11849386"	"SRR11849387"	"SRR11849388"	"SRR11849389"	"SRR11849390"	"SRR11849391"	"SRR11849392"	"SRR11849393"	"SRR11849394"	"SRR11849395"	"SRR11849396"	"SRR11849397"	"SRR11849398"	"SRR11849399"	"SRR11849400"	"SRR11849401"	"SRR11849402"	"SRR11849403"	"SRR11849404"	"SRR11849405"	"SRR11849406"	"SRR11849407"	"SRR11849408"	"SRR11849409"	"SRR11849410"	"SRR11849411"	"SRR11849412"
"YAL068C"	5	6	1	8	4	7	17	23	13	2	1	1	1	0	2	1	0	0	1	1	2	1	2	1	0	1	0
"YAL067W-A"	5	5	3	6	1	6	15	28	12	0	1	0	0	0	1	0	2	2	0	0	1	0	0	0	1	0	0
"YAL067C"	93	75	125	477	437	517	1604	832	1282	49	42	12	190	184	2506	357	2218	750	27	25	9	210	289	216	384	359	532
"YAL065C"	24	15	28	28	31	36	123	71	106	18	8	2	24	19	211	19	131	31	6	9	5	40	20	17	22	24	26
"YAL064W-B"	31	27	40	36	36	45	179	91	172	8	10	9	28	15	290	32	143	58	7	11	10	30	32	19	41	31	56
"YAL064C-A"	87	55	109	98	84	123	343	168	299	41	20	33	57	54	642	66	304	112	23	42	29	68	83	61	83	62	111
"YAL064W"	7	5	3	8	6	12	20	36	31	0	2	2	5	2	43	4	19	9	1	5	2	5	5	3	8	11	3
"YAL063C-A"	18	30	15	64	48	107	131	77	98	8	6	3	29	31	398	31	227	80	7	8	0	25	44	30	18	19	35
"YAL063C"	327	346	592	507	439	617	2123	1043	1752	197	153	113	426	389	5181	429	2729	914	127	229	88	382	501	343	673	626	911
"YAL062W"	507	351	1047	14009	13730	18326	32662	12423	33454	297	222	187	11531	9852	165561	21978	118661	42071	203	270	152	13982	12518	9220	16889	12491	20401
"YAL061W"	553	475	855	20736	18556	27158	16672	9120	18806	404	349	230	13334	9058	137670	1722	10709	3952	242	373	210	12238	21754	17809	5065	4826	5650
"YAL060W"	1599	1775	4086	19438	14988	24008	8934	4428	8244	1099	924	578	16467	11834	168213	3516	16318	7600	827	1206	605	9658	15550	13255	3688	4097	4311
"YAL059W"	1670	2982	3993	205	120	216	363	320	406	1329	1233	594	217	91	1439	159	567	225	759	1624	642	157	112	90	134	154	209
"YAL058W"	918	1209	2042	447	426	523	777	463	715	790	608	350	398	319	4619	332	1567	561	448	789	336	414	449	294	282	278	364
"YAL056W"	2557	3253	5076	2431	2292	3220	5176	2644	4550	1736	1447	886	2321	1855	27112	1545	8008	3070	1063	2108	823	1698	2192	1575	2052	1734	2726
"YAL055W"	183	226	598	233	205	321	592	376	690	152	135	132	337	303	4246	1046	2302	842	66	170	153	196	195	153	320	369	399
"YAL054C"	433	413	767	11871	11394	17024	15271	8586	14863	274	242	148	6561	6179	90048	5521	43902	13469	206	279	118	11789	12968	8712	8323	5804	9721
"YAL053W"	2946	2395	7056	2899	2682	3560	12627	5321	10852	2301	1885	1110	2135	1716	24538	3521	20500	6716	1605	2434	1059	2900	2433	1701	3261	4205	5123
"YAL051W"	1271	916	2114	1092	978	1479	3721	2129	3384	706	558	379	1081	894	12746	847	4886	1611	319	704	399	973	982	721	1097	1020	1542
"YAL049C"	1320	1856	2817	1722	1610	2184	3573	1898	3372	1152	1003	437	1365	1126	16818	927	5525	1942	770	1259	428	1774	1713	1168	1519	1383	2011
"YAL048C"	719	720	1110	754	765	871	2009	936	1645	428	324	220	897	701	10363	551	3545	1152	266	443	185	607	724	592	551	479	814
"YAL047C"	386	449	740	200	183	315	759	543	726	274	228	98	285	220	3208	198	1142	421	92	226	81	182	142	106	215	235	346
"YAL046C"	381	463	1247	383	352	386	791	405	843	387	293	238	408	378	5831	408	1494	645	200	343	199	337	496	355	307	286	359
"YAL044W-A"	539	778	1608	779	669	784	1065	511	1030	646	514	244	949	807	12345	810	3919	1514	466	681	229	821	1092	603	434	482	598
"YAL044C"	1956	3885	6431	1634	1336	2396	4516	1884	4626	2090	1748	884	1079	844	12278	2164	10988	3918	1290	2287	884	2391	1473	936	2041	1663	2830
"YAL043C"	1407	850	3662	1080	1078	1147	2936	1566	2740	951	711	530	878	669	11472	1271	6743	2535	447	827	525	1159	1157	771	1220	1002	1557
"YAL042W"	4875	7136	14350	3397	2747	4002	3126	1503	2981	5209	4383	2672	2856	2076	32623	1751	7588	3030	3323	5007	2021	2882	3392	2422	1387	1372	1792
"YAL041W"	1666	1253	3155	686	628	935	2679	1395	2362	1090	847	435	672	503	7060	821	5391	1852	597	1150	405	672	646	506	924	723	1329
"YAL040C"	1861	1145	4550	2470	2085	3120	3187	1664	2789	1265	995	667	1540	1255	19622	1921	7215	3792	696	1213	808	2909	1613	1278	1028	980	1389
"YAL039C"	626	673	3792	2247	1994	2912	2856	1208	3064	648	531	452	2288	1760	27811	1768	8092	2992	389	756	419	1811	2944	2127	1806	1707	2054
"YAL038W"	197115	139522	352952	52845	36840	73171	41751	22445	40868	135063	110592	71855	18950	7816	112372	22541	146403	42284	87277	139045	59491	55215	27127	21389	16157	15266	19670
"YAL037C-A"	636	772	507	121	158	165	182	149	171	383	596	115	71	48	454	76	354	160	331	308	113	149	61	39	33	30	30
"YAL037W"	310	444	466	320	281	493	660	470	630	169	171	77	183	144	1955	132	694	285	132	262	100	187	213	186	193	159	216
"YAL036C"	2597	2685	9045	469	349	558	1313	735	1399	2241	1818	2097	559	338	4828	1082	2212	948	1282	2474	2146	529	501	323	624	450	702
"YAL035W"	10083	7117	33993	2547	2244	3620	9216	4443	9530	5902	4613	6980	2749	1804	24798	4681	13205	5449	3225	6485	8431	2548	1884	1614	4904	4558	5873
"YAL034W-A"	191	220	529	93	79	126	272	225	274	168	142	64	79	64	882	63	341	148	73	152	68	115	51	47	70	83	91
"YAL034C"	758	534	1089	4931	4803	6573	9409	4661	9016	440	357	248	2907	2273	36726	1780	12672	4451	225	456	280	5177	4826	3610	4110	3857	5465
"YAL033W"	475	1060	1307	157	134	191	398	247	365	606	460	252	261	158	2690	188	751	296	330	650	190	146	132	114	157	124	164
"YAL032C"	398	412	1448	350	285	380	1070	603	1088	338	293	191	421	343	5412	387	1617	583	200	424	144	307	377	258	488	486	634
"YAL031C"	853	624	1723	629	523	863	2315	1222	2198	580	477	282	509	398	6258	653	2829	950	269	558	262	592	555	465	922	758	1353
"YAL030W"	740	638	1812	717	706	1020	2160	1345	2179	686	617	278	921	787	11936	727	5048	1554	299	597	346	909	830	594	982	852	1324
