Sample	SRX	SRR	Label	treatment	time	rep
GSM4568115	SRX8399630	SRR11849386	Waterlog_1	water	0	1
GSM4568116	SRX8399631	SRR11849387	Waterlog_2	water	0	2
GSM4568117	SRX8399632	SRR11849388	Waterlog_2	water	0	3
GSM4568118	SRX8399606	SRR11849389	Water24_1	water	24	1
GSM4568119	SRX8399607	SRR11849390	Water24_2	water	24	2
GSM4568120	SRX8399608	SRR11849391	Water24_3	water	24	3
GSM4568121	SRX8399609	SRR11849392	Water96_1	water	96	1
GSM4568122	SRX8399610	SRR11849393	Water96_2	water	96	2
GSM4568123	SRX8399611	SRR11849394	Water96_3	water	96	3
GSM4568124	SRX8399612	SRR11849395	CRlog_1	CR	0	1
GSM4568125	SRX8399613	SRR11849396	CRlog_2	CR	0	2
GSM4568126	SRX8399614	SRR11849397	CRlog_3	CR	0	3
GSM4568127	SRX8399615	SRR11849398	CR24_1	CR	24	1
GSM4568128	SRX8399616	SRR11849399	CR24_2	CR	24	2
GSM4568129	SRX8399617	SRR11849400	CR24_3	CR	24	3
GSM4568130	SRX8399618	SRR11849401	CR96_1	CR	96	1
GSM4568131	SRX8399619	SRR11849402	CR96_2	CR	96	2
GSM4568132	SRX8399620	SRR11849403	CR96_3	CR	96	3
GSM4568133	SRX8399621	SRR11849404	Nrlog_1	NR	0	1
GSM4568134	SRX8399622	SRR11849405	Nrlog_2	NR	0	2
GSM4568135	SRX8399623	SRR11849406	Nrlog_3	NR	0	3
GSM4568136	SRX8399624	SRR11849407	NR24_1	NR	24	1
GSM4568137	SRX8399625	SRR11849408	NR24_2	NR	24	2
GSM4568138	SRX8399626	SRR11849409	NR24_3	NR	24	3
GSM4568139	SRX8399627	SRR11849410	NR96_1	NR	96	1
GSM4568140	SRX8399628	SRR11849411	NR96_2	NR	96	2
GSM4568141	SRX8399629	SRR11849412	NR96_3	NR	96	3
